Name, Median Time, Min Time, Max Time, Median Frame Index, Min Frame Index, Max Frame Index, Min Depth, Max Depth, Total Time, Mean Time, Time Lower Quartile, Time Upper Quartile, Count Total, Count Median, Count Min, Count Max, Number of frames containing Marker, First Frame Index, Time Min Individual, Time Max Individual, Min Individual Frame, Max Individual Frame, Time at Median Frame
EditorLoop,4.5991,3.733,22.6392,1067,1048,1055,1,1,1517.6230968833,5.075663,4.3128,4.9734,598,2,2,2,299,852,0.7354,19.4255,1119,1055,4.5991
PlayerLoop,1.1222,0.7682,1.9565,1111,949,1014,1,1,346.716998755932,1.159589,0.9274,1.343,598,2,2,2,299,852,0.2668,1.3302,1110,913,1.2035
Camera.Render,0.457,0.3805,0.991,1124,1114,1139,2,2,139.615099966526,0.4669401,0.4324,0.4872,299,1,1,1,299,852,0.3805,0.991,1114,1139,0.435
FixedUpdate.PhysicsFixedUpdate,0.2727,0.203,0.7345999,973,1044,970,2,2,28.5003999918699,0.2968792,0.2212,0.338,97,1,1,2,96,852,0.1544,0.7345999,899,970,0
Drawing,0.2517,0.2035,0.6702,939,1068,1014,3,3,77.9468999505043,0.260692,0.2365,0.2755,299,1,1,1,299,852,0.2035,0.6702,1068,1014,0.2416
Profiler.CollectEditorStats,0.2369,0.1823,0.7309,1131,1041,1055,1,1,81.0038000494242,0.2709157,0.202,0.3139,299,1,1,1,299,852,0.1823,0.7309,1041,1055,0.1833
TextRendering.Cleanup,0.2355,0.2145999,0.2683,913,1069,990,6,6,0.718400003621355,0.2394667,0.2145999,0.2355,348,116,116,116,3,913,0.001,0.0268,1069,1069,0
Profiler.CollectGlobalStats,0.2315,0.1791,0.7227,886,1019,1055,2,2,79.5420998930931,0.2660271,0.1987,0.3065,299,1,1,1,299,852,0.1791,0.7227,1019,1055,0.1804
Physics.Processing,0.2243,0.1758,0.6942,937,1044,970,3,3,24.4122001975775,0.2542937,0.1943,0.2819,97,1,1,2,96,852,0.1415,0.6942,899,970,0
Render.OpaqueGeometry,0.2156,0.1736,0.4222,870,1116,1139,4,4,66.6879999935627,0.2230368,0.2034,0.2366,299,1,1,1,299,852,0.1736,0.4222,1116,1139,0.2094
Profiler.CollectMemoryAllocationStats,0.2,0.1538,0.6702,1005,1019,1055,3,3,69.3332002162933,0.2318836,0.1724,0.2666,299,1,1,1,299,852,0.1538,0.6702,1019,1055,0.1557
RenderForwardOpaque.Render,0.1742,0.1336,0.3437,933,1116,1139,5,5,53.9420000463724,0.180408,0.1641,0.1959,299,1,1,1,299,852,0.1336,0.3437,1116,1139,0.1667
Shadows.RenderShadowMap,0.0981,0.0697,0.2551,863,1020,1103,6,6,30.4091999903321,0.101703,0.09280001,0.1045,299,1,1,1,299,852,0.0697,0.2551,1020,1103,0.0981
Culling,0.0874,0.0735,0.277,958,1030,1139,3,3,27.5864000618458,0.09226221,0.0833,0.09630001,299,1,1,1,299,852,0.0735,0.277,1030,1139,0.0779
