Name, Median Time, Min Time, Max Time, Median Frame Index, Min Frame Index, Max Frame Index, Min Depth, Max Depth, Total Time, Mean Time, Time Lower Quartile, Time Upper Quartile, Count Total, Count Median, Count Min, Count Max, Number of frames containing Marker, First Frame Index, Time Min Individual, Time Max Individual, Min Individual Frame, Max Individual Frame, Time at Median Frame
EditorLoop,5.3927,5.3927,5.3927,1314,1314,1314,1,1,5.39269995689392,5.3927,5.3927,5.3927,2,2,2,2,1,1314,2.1897,3.203,1314,1314,5.3927
PlayerLoop,1.7541,1.7541,1.7541,1314,1314,1314,1,1,1.75410008430481,1.7541,1.7541,1.7541,2,2,2,2,1,1314,0.6063,1.1478,1314,1314,1.7541
Camera.Render,0.8613,0.8613,0.8613,1314,1314,1314,2,2,0.861299991607666,0.8613,0.8613,0.8613,1,1,1,1,1,1314,0.8613,0.8613,1314,1314,0.8613
Drawing,0.5591,0.5591,0.5591,1314,1314,1314,3,3,0.559099972248077,0.5591,0.5591,0.5591,1,1,1,1,1,1314,0.5591,0.5591,1314,1314,0.5591
Render.OpaqueGeometry,0.4562,0.4562,0.4562,1314,1314,1314,4,4,0.456200003623962,0.4562,0.4562,0.4562,1,1,1,1,1,1314,0.4562,0.4562,1314,1314,0.4562
RenderForwardOpaque.Render,0.3896,0.3896,0.3896,1314,1314,1314,5,5,0.38960000872612,0.3896,0.3896,0.3896,1,1,1,1,1,1314,0.3896,0.3896,1314,1314,0.3896
Shadows.RenderShadowMap,0.2396,0.2396,0.2396,1314,1314,1314,6,6,0.239600002765656,0.2396,0.2396,0.2396,1,1,1,1,1,1314,0.2396,0.2396,1314,1314,0.2396
Profiler.CollectEditorStats,0.1899,0.1899,0.1899,1314,1314,1314,1,1,0.189899995923042,0.1899,0.1899,0.1899,1,1,1,1,1,1314,0.1899,0.1899,1314,1314,0.1899
Profiler.CollectGlobalStats,0.186,0.186,0.186,1314,1314,1314,2,2,0.186000004410744,0.186,0.186,0.186,1,1,1,1,1,1314,0.186,0.186,1314,1314,0.186
Profiler.CollectMemoryAllocationStats,0.1605,0.1605,0.1605,1314,1314,1314,3,3,0.160500004887581,0.1605,0.1605,0.1605,1,1,1,1,1,1314,0.1605,0.1605,1314,1314,0.1605
PreLateUpdate.DirectorUpdateAnimationBegin,0.1297,0.1297,0.1297,1314,1314,1314,2,2,0.129699990153313,0.1297,0.1297,0.1297,1,1,1,1,1,1314,0.1297,0.1297,1314,1314,0.1297
Director.ProcessFrame,0.109,0.109,0.109,1314,1314,1314,3,3,0.109000001626555,0.109,0.109,0.109,5,5,5,5,1,1314,0,0.0868,1314,1314,0.109
Animators.Update,0.1009,0.1009,0.1009,1314,1314,1314,4,4,0.100899996235967,0.1009,0.1009,0.1009,2,2,2,2,1,1314,0.0218,0.0791,1314,1314,0.1009
WaitForJobGroupID,0.0975,0.0975,0.0975,1314,1314,1314,4,7,0.0974999987520278,0.0975,0.0975,0.0975,7,7,7,7,1,1314,0.0011,0.0361,1314,1314,0.0975
Camera.ImageEffects,0.0882,0.0882,0.0882,1314,1314,1314,3,4,0.0882000002311543,0.0882,0.0882,0.0882,2,2,2,2,1,1314,0.0006,0.0876,1314,1314,0.0882
Shadows.RenderJob,0.0838,0.0838,0.0838,1314,1314,1314,7,7,0.0838000020012259,0.0838,0.0838,0.0838,6,6,6,6,1,1314,0.0007,0.0547,1314,1314,0.0838
Shadows.RenderJobPoint,0.08229999,0.08229999,0.08229999,1314,1314,1314,8,8,0.0822999970405363,0.0823,0.08229999,0.08229999,6,6,6,6,1,1314,0.0005,0.0546,1314,1314,0.08229999
Culling,0.0822,0.0822,0.0822,1314,1314,1314,3,3,0.0821999981999397,0.0822,0.0822,0.0822,1,1,1,1,1,1314,0.0822,0.0822,1314,1314,0.0822
RenderForward.RenderLoopJob,0.0726,0.0726,0.0726,1314,1314,1314,6,6,0.0725999996066093,0.0726,0.0726,0.0726,1,1,1,1,1,1314,0.0726,0.0726,1314,1314,0.0726
Graphics.Blit,0.056,0.056,0.056,1314,1314,1314,4,4,0.0560000017285347,0.056,0.056,0.056,1,1,1,1,1,1314,0.056,0.056,1314,1314,0.056
SceneCulling,0.0524,0.0524,0.0524,1314,1314,1314,4,4,0.0524000003933907,0.0524,0.0524,0.0524,1,1,1,1,1,1314,0.0524,0.0524,1314,1314,0.0524
UnityEngine.UIElementsModule.dll!UnityEngine.UIElements::UIElementsRuntimeUtility.RepaintOverlayPanels(),0.0494,0.0494,0.0494,1314,1314,1314,2,2,0.0494000017642975,0.0494,0.0494,0.0494,1,1,1,1,1,1314,0.0494,0.0494,1314,1314,0.0494
Director.PrepareFrame,0.04310001,0.04310001,0.04310001,1314,1314,1314,3,3,0.0431000004755333,0.0431,0.04310001,0.04310001,5,5,5,5,1,1314,0.0001,0.0425,1314,1314,0.04310001
PostUpdateScreenManagerAndInput,0.0425,0.0425,0.0425,1314,1314,1314,2,2,0.0425000004470348,0.0425,0.0425,0.0425,1,1,1,1,1,1314,0.0425,0.0425,1314,1314,0.0425
Shadows.PrepareShadowmap,0.0415,0.0415,0.0415,1314,1314,1314,5,5,0.0414999984204769,0.0415,0.0415,0.0415,1,1,1,1,1,1314,0.0415,0.0415,1314,1314,0.0415
Animators.PrepareFirstPass,0.0381,0.0381,0.0381,1314,1314,1314,5,5,0.0380999967455864,0.0381,0.0381,0.0381,1,1,1,1,1,1314,0.0381,0.0381,1314,1314,0.0381
UnityEngine.UIElementsModule.dll!UnityEngine.UIElements::UIElementsUtility.GetAllPanels(),0.0369,0.0369,0.0369,1314,1314,1314,3,3,0.0369000025093555,0.0369,0.0369,0.0369,1,1,1,1,1,1314,0.0369,0.0369,1314,1314,0.0369
Semaphore.WaitForSignal,0.035,0.035,0.035,1314,1314,1314,3,8,0.0349999995087273,0.035,0.035,0.035,4,4,4,4,1,1314,0,0.0343,1314,1314,0.035
PreUpdate.SendMouseEvents,0.0327,0.0327,0.0327,1314,1314,1314,2,2,0.0327000021934509,0.0327,0.0327,0.0327,1,1,1,1,1,1314,0.0327,0.0327,1314,1314,0.0327
Monobehaviour.OnMouse_,0.0326,0.0326,0.0326,1314,1314,1314,3,3,0.0325999967753887,0.0326,0.0326,0.0326,1,1,1,1,1,1314,0.0326,0.0326,1314,1314,0.0326
UnityEngine.InputLegacyModule.dll!UnityEngine::SendMouseEvents.DoSendMouseEvents(),0.0305,0.0305,0.0305,1314,1314,1314,4,4,0.0305000003427267,0.0305,0.0305,0.0305,1,1,1,1,1,1314,0.0305,0.0305,1314,1314,0.0305
CullResults.CreateSharedRendererScene,0.0304,0.0304,0.0304,1314,1314,1314,3,3,0.0304000005125999,0.0304,0.0304,0.0304,1,1,1,1,1,1314,0.0304,0.0304,1314,1314,0.0304
Camera.RenderSkybox,0.0302,0.0302,0.0302,1314,1314,1314,4,4,0.0302000008523464,0.0302,0.0302,0.0302,1,1,1,1,1,1314,0.0302,0.0302,1314,1314,0.0302
GUI.Repaint,0.0302,0.0302,0.0302,1314,1314,1314,2,2,0.0302000008523464,0.0302,0.0302,0.0302,1,1,1,1,1,1314,0.0302,0.0302,1314,1314,0.0302
BatchRenderer.Flush,0.0285,0.0285,0.0285,1314,1314,1314,7,9,0.0284999995492399,0.0285,0.0285,0.0285,5,5,5,5,1,1314,0.0011,0.0188,1314,1314,0.0285
PostLateUpdate.UpdateAudio,0.0263,0.0263,0.0263,1314,1314,1314,2,2,0.0263000000268221,0.0263,0.0263,0.0263,1,1,1,1,1,1314,0.0263,0.0263,1314,1314,0.0263
PostLateUpdate.UpdateAllRenderers,0.0253,0.0253,0.0253,1314,1314,1314,2,2,0.0252999998629093,0.0253,0.0253,0.0253,1,1,1,1,1,1314,0.0253,0.0253,1314,1314,0.0253
Director.PrepareFrameJob,0.0247,0.0247,0.0247,1314,1314,1314,5,5,0.0247000008821487,0.0247,0.0247,0.0247,1,1,1,1,1,1314,0.0247,0.0247,1314,1314,0.0247
